UserID,Anonymized_User_ID,Cleaned_Content,Cluster_Label,Cluster_Prob
247,396f804443,"sejauh ini saya mengetahui apa itu antarmuka, namun saya tidak tau apa saja yang bisa mendukung supaya antarmuka bisa lebih enak dilihat oleh pengguna. maka dari itu, saya ingin mengetahui apa yang bisa mendukung antarmuka supaya lebih nyaman dilihat",5,1.0
68,a21855da08,"yang saya ketahui tentang antarmuka kurang lebih sama seperti definisi yang sudah saya berikan sebelumnya, antarmuka itu seperti gerbang interaksi antara perintah yang diberikan oleh user kepada suatu program yang dibungkus dalam software atau aplikasi.",10,1.0
68,a21855da08,"yang saya ketahui tentang antarmuka kurang lebih sama seperti definisi yang sudah saya berikan sebelumnya, antarmuka itu seperti gerbang interaksi antara perintah yang diberikan oleh user kepada suatu program yang dibungkus dalam software atau aplikasi.",10,1.0
68,a21855da08,"yang saya ketahui tentang antarmuka kurang lebih sama seperti definisi yang sudah saya berikan sebelumnya, antarmuka itu seperti gerbang interaksi antara perintah yang diberikan oleh user kepada suatu program yang dibungkus dalam software atau aplikasi.",10,1.0
68,a21855da08,"yang saya ketahui tentang antarmuka kurang lebih sama seperti definisi yang sudah saya berikan sebelumnya, antarmuka itu seperti gerbang interaksi antara perintah yang diberikan oleh user kepada suatu program yang dibungkus dalam software atau aplikasi.",10,1.0
66,3ada92f28b,"saya ingin tahu bagaimana antarmuka yang bagus dan baik sehingga dapat diterima oleh pengguna serta bagaimana hubungan antarmuka dengan user experience,",9,1.0
95,ad48ff9941,"aku ingin tahu lebih mendalam untuk membuan antarmuka yang lebih familiar dan mudah digunakan oleh user. karena i',m very interested untuk mendalami mengenai ui/ux, pernah mengambil role ini beberapa kali, tapi masih tetap sangat penasaaran untuk bisa lebih advanced in this",7,1.0
72,8722616204,"saya ingin tau tentang kriteria, apa saja yang membuat sebuah antarmuka itu baik",4,1.0
79,98a3ab7c34,hal-hal penting apa yang harus aku pahami agar bisa merancang antarmuka yang paling baik,4,1.0
116,e5b861a6d8,"karena ini dapat dibilang salah satu materi inti dari pembelajaran sister, yaitu tentang ui/ux, saya ingin mengetahui lebih dalam apasih urgensi dari ui/ux dalam mengembangkan suatu aplikasi.",3,1.0
298,76ebdb6d45,"bagaimana cara mendesain user interface sendiri, sesuai dengan kebutuhan dan kenyamanan pengguna dalam berbagai kasus. mengetahui perbedaan desain-desain untuk setiap jenis servicesnya",13,1.0
169,f57e5cb1f4,"hal yang ingin saya ketahui tentang antarmuka adalah saya ingin mengetahui bagaimana antarmuka bisa memberikan efek ""wow"" yang melampaui sekadar usability standard, saya juga penasaran bagaimana penerpa beberpa teori saat dihadapkan pada antarmuka masa depan, selain itu, saya ingin mengetahui batasan batasan teknis dan etika dalam merancang interface/antarmuka agar tetap selaras antara fungsi dan nilai moral masyarakat.",1,1.0
95,ad48ff9941,"aku ingin tahu lebih mendalam untuk membuan antarmuka yang lebih familiar dan mudah digunakan oleh user. karena i',m very interested untuk mendalami mengenai ui/ux, pernah mengambil role ini beberapa kali, tapi masih tetap sangat penasaaran untuk bisa lebih advanced in this",7,1.0
95,ad48ff9941,"aku ingin tahu lebih mendalam untuk membuan antarmuka yang lebih familiar dan mudah digunakan oleh user. karena i',m very interested untuk mendalami mengenai ui/ux, pernah mengambil role ini beberapa kali, tapi masih tetap sangat penasaaran untuk bisa lebih advanced in this",7,1.0
95,ad48ff9941,"aku ingin tahu lebih mendalam untuk membuan antarmuka yang lebih familiar dan mudah digunakan oleh user. karena i',m very interested untuk mendalami mengenai ui/ux, pernah mengambil role ini beberapa kali, tapi masih tetap sangat penasaaran untuk bisa lebih advanced in this",7,1.0
95,ad48ff9941,"aku ingin tahu lebih mendalam untuk membuan antarmuka yang lebih familiar dan mudah digunakan oleh user. karena i',m very interested untuk mendalami mengenai ui/ux, pernah mengambil role ini beberapa kali, tapi masih tetap sangat penasaaran untuk bisa lebih advanced in this",7,1.0
82,a46e37632f,"saya ingin mengetahui bagaimana antarmuka dirancang agar mudah digunakan, apa saja prinsip-prinsip dasar dalam membuat antarmuka yang baik, bagaimana cara menguji apakah antarmuka sudah efektif atau belum, serta bagaimana peran antarmuka dalam meningkatkan pengalaman dan kenyamanan pengguna saat menggunakan suatu sistem.",1,1.0
220,36790ecd55,saya ingin tahu bagaimana ui mempengaruhi user dalam menggunakan aplikasi,11,1.0
208,8df66f64b5,yang ingin saya ketahui adalah mengenai ui ux serta bentuk bentuk antarmuka yang ada,3,1.0
81,5316ca1c5d,"dari slides yang saya baca, saya ingin mengetahui apakah desain antarmuka memungkinkan pengguna mencapai tujuannya secara efektif (usability) serta memberikan pengalaman yang menyenangkan dan memuaskan (user experience)",13,1.0
241,749fc650ca,"cara membuat desain antarmuka yang efektif, efisien dan best practice di dunia modern.",0,1.0
288,23c657f2ef,apa fungsi dari ui,6,1.0
310,226f76b55a,"saya ingin mengetahui bagaimana antarmuka dapat mempengaruhi user, dan cara membuat antarmuka yang baik dan memenuhi kebutuhan user.",9,1.0
310,226f76b55a,"saya ingin mengetahui bagaimana antarmuka dapat mempengaruhi user, dan cara membuat antarmuka yang baik dan memenuhi kebutuhan user.",9,1.0
80,48449a14a4,"hal yang ingin saya ketahui tentang topik antarmuka adalah pengertian dasar antarmuka dan mengapa antarmuka sangat penting dalam suatu sistem. saya juga ingin memahami berbagai jenis antarmuka seperti gui, cli, dan api serta perbedaan fungsi masing-masing. selain itu, saya tertarik untuk mempelajari bagaimana merancang antarmuka yang baik agar mudah digunakan, jelas, dan tidak membingungkan bagi pengguna. saya juga ingin mengetahui bagaimana antarmuka dapat memengaruhi pengalaman pengguna dan keberhasilan suatu sistem secara keseluruhan.",1,1.0
85,b4944c6ff0,"kira-kira aku pengen tahu gimana cara bikin desain yang bener-bener nyambung sama model mental pengguna supaya nggak terjadi usability gap. aku juga penasaran gimana cara ngatur beban kognitif lewat prinsip desain kayak konsistensi dan visibilitas, biar antarmukanya nggak cuma bagus dilihat tapi juga gampang dipake buat tugas-tugas yang ribet.",13,1.0
58,6208ef0f77,"kalo dalam desain ui/ux aku mau tau tentang yang berfokus pada estetika visual, interaksi, dan tata letak elemen (tombol, tipografi, warna) trs gimana untuk menciptakan tampilan produk digital yang menarik, konsisten, dan intuitif.",3,1.0
267,8acc23987b,saya ingin mengetahui desain yang baik dan benar.,4,1.0
