fokus,topik,bahasa,level_bloom,pertanyaan,input_text,target_text
React,React Virtual DOM,English,Remembering,What is the Virtual DOM in React?,"Level: Remembering
Topik: React Virtual DOM
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",What is the Virtual DOM in React?
Komputer & Masyarakat,Technology Development,Indonesian,Understanding,Jelaskan bagaimana Hukum Moore (Moore's Law) telah mempengaruhi kecepatan pengembangan teknologi selama beberapa dekade terakhir.,"Level: Understanding
Topik: Technology Development
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Jelaskan bagaimana Hukum Moore (Moore's Law) telah mempengaruhi kecepatan pengembangan teknologi selama beberapa dekade terakhir.
Manajemen Proyek TI,Project Charter,English,Applying,Your company is launching a new mobile app. Draft the project objectives and success criteria sections for its Project Charter.,"Level: Applying
Topik: Project Charter
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Your company is launching a new mobile app. Draft the project objectives and success criteria sections for its Project Charter.
Python,Python File Handling,Indonesian,Evaluating,Bandingkan penggunaan 'with open()' dengan membuka dan menutup file secara manual menggunakan open() dan close(). Pendekatan mana yang lebih baik untuk kode produksi dan mengapa?,"Level: Evaluating
Topik: Python File Handling
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Bandingkan penggunaan 'with open()' dengan membuka dan menutup file secara manual menggunakan open() dan close(). Pendekatan mana yang lebih baik untuk kode produksi dan mengapa?
DevOps,Kubernetes Deployments,English,Analyzing,A Deployment update is causing downtime during rollout. Analyze how the maxUnavailable and maxSurge parameters in the RollingUpdate strategy affect this behavior.,"Level: Analyzing
Topik: Kubernetes Deployments
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",A Deployment update is causing downtime during rollout. Analyze how the maxUnavailable and maxSurge parameters in the RollingUpdate strategy affect this behavior.
Machine Learning,Overfitting and Underfitting,English,Analyzing,Compare the bias-variance tradeoff in overfitting versus underfitting scenarios. How does model complexity affect each condition?,"Level: Analyzing
Topik: Overfitting and Underfitting
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Compare the bias-variance tradeoff in overfitting versus underfitting scenarios. How does model complexity affect each condition?
Data Structures,Queue,Indonesian,Analyzing,"Sebuah sistem layanan pelanggan menggunakan Queue untuk mengelola panggilan masuk. Saat jam sibuk, pelanggan mengeluh tentang waktu tunggu yang lama. Analisis bagaimana struktur data Queue berkontribusi terhadap masalah ini dan informasi apa yang diberikan Queue tentang situasi tersebut.","Level: Analyzing
Topik: Queue
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Sebuah sistem layanan pelanggan menggunakan Queue untuk mengelola panggilan masuk. Saat jam sibuk, pelanggan mengeluh tentang waktu tunggu yang lama. Analisis bagaimana struktur data Queue berkontribusi terhadap masalah ini dan informasi apa yang diberikan Queue tentang situasi tersebut."
Python,Python Lambda Functions,English,Understanding,Explain the difference between a lambda function and a regular function defined with the 'def' keyword in Python.,"Level: Understanding
Topik: Python Lambda Functions
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Explain the difference between a lambda function and a regular function defined with the 'def' keyword in Python.
Cybersecurity,Public Key Infrastructure,English,Analyzing,Compare the security implications of using self-signed certificates versus certificates issued by a trusted Certificate Authority in a corporate environment.,"Level: Analyzing
Topik: Public Key Infrastructure
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Compare the security implications of using self-signed certificates versus certificates issued by a trusted Certificate Authority in a corporate environment.
Sistem Operasi,Introduction and Operating System Structure,Indonesian,Analyzing,Bandingkan struktur monolithic kernel dan microkernel. Apa trade-off antara performa dan reliabilitas pada masing-masing pendekatan?,"Level: Analyzing
Topik: Introduction and Operating System Structure
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Bandingkan struktur monolithic kernel dan microkernel. Apa trade-off antara performa dan reliabilitas pada masing-masing pendekatan?
Python OOP,Python Instance vs Class Variables,English,Analyzing,A developer notices that all instances of their `BankAccount` class are sharing the same transaction history list. Analyze what type of variable was likely used and why this behavior occurs.,"Level: Analyzing
Topik: Python Instance vs Class Variables
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",A developer notices that all instances of their `BankAccount` class are sharing the same transaction history list. Analyze what type of variable was likely used and why this behavior occurs.
Algorithms,Dynamic Programming,English,Applying,"Given the Fibonacci sequence problem, implement a dynamic programming solution using either top-down or bottom-up approach to find the nth Fibonacci number.","Level: Applying
Topik: Dynamic Programming
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Given the Fibonacci sequence problem, implement a dynamic programming solution using either top-down or bottom-up approach to find the nth Fibonacci number."
Data Structures,Graph,English,Understanding,Explain the difference between a directed graph and an undirected graph.,"Level: Understanding
Topik: Graph
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Explain the difference between a directed graph and an undirected graph.
Flutter,Flutter MediaQuery Usage,Indonesian,Remembering,Apa fungsi utama dari MediaQuery dalam Flutter?,"Level: Remembering
Topik: Flutter MediaQuery Usage
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Apa fungsi utama dari MediaQuery dalam Flutter?
Blockchain,Token Standards ERC-20,English,Analyzing,Compare the approve() and allowance() functions in ERC-20. How do these two functions work together to enable delegated token transfers?,"Level: Analyzing
Topik: Token Standards ERC-20
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Compare the approve() and allowance() functions in ERC-20. How do these two functions work together to enable delegated token transfers?
Next.js,Next.js Environment Variables,English,Remembering,What is the prefix required for environment variables to be exposed to the browser in Next.js?,"Level: Remembering
Topik: Next.js Environment Variables
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",What is the prefix required for environment variables to be exposed to the browser in Next.js?
DevOps,Docker Volumes,Indonesian,Remembering,Apa fungsi utama dari Docker volumes?,"Level: Remembering
Topik: Docker Volumes
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Apa fungsi utama dari Docker volumes?
Flutter,Flutter Riverpod State Management,Indonesian,Remembering,Apa saja tiga jenis provider utama dalam Riverpod?,"Level: Remembering
Topik: Flutter Riverpod State Management
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Apa saja tiga jenis provider utama dalam Riverpod?
Cloud Computing,AWS S3,Indonesian,Remembering,Apa kepanjangan dari S3 dalam AWS S3?,"Level: Remembering
Topik: AWS S3
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Apa kepanjangan dari S3 dalam AWS S3?
NLP,Question Answering Systems,English,Remembering,What is the primary function of a Question Answering (QA) system?,"Level: Remembering
Topik: Question Answering Systems
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",What is the primary function of a Question Answering (QA) system?
Algorithms,Divide and Conquer,Indonesian,Remembering,Apa saja tiga langkah utama dalam paradigma algoritma divide and conquer?,"Level: Remembering
Topik: Divide and Conquer
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Apa saja tiga langkah utama dalam paradigma algoritma divide and conquer?
Server Side,Database Connection Pooling,English,Analyzing,"An e-commerce application experiences slow response times during peak hours despite having a connection pool configured. The pool size is set to 10, but the application has 50 concurrent users. Analyze what might be causing the performance issue and how the connection pool configuration relates to it.","Level: Analyzing
Topik: Database Connection Pooling
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","An e-commerce application experiences slow response times during peak hours despite having a connection pool configured. The pool size is set to 10, but the application has 50 concurrent users. Analyze what might be causing the performance issue and how the connection pool configuration relates to it."
Deep Learning,Perceptron,English,Analyzing,Why is a single-layer perceptron unable to solve the XOR problem? Analyze the limitation in terms of linear separability.,"Level: Analyzing
Topik: Perceptron
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Why is a single-layer perceptron unable to solve the XOR problem? Analyze the limitation in terms of linear separability.
Machine Learning,Random Search,English,Remembering,What is Random Search in the context of hyperparameter optimization?,"Level: Remembering
Topik: Random Search
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",What is Random Search in the context of hyperparameter optimization?
IT Project Management,Project Communication Plan,Indonesian,Understanding,Jelaskan bagaimana Communication Plan membantu mencegah kesalahpahaman di antara stakeholder proyek.,"Level: Understanding
Topik: Project Communication Plan
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Jelaskan bagaimana Communication Plan membantu mencegah kesalahpahaman di antara stakeholder proyek.
React,React Hooks useEffect,Indonesian,Applying,Anda perlu mengambil data pengguna dari API saat komponen pertama kali dimuat dan membersihkan subscription saat komponen di-unmount. Tulis useEffect hook yang dapat menyelesaikan hal ini.,"Level: Applying
Topik: React Hooks useEffect
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Anda perlu mengambil data pengguna dari API saat komponen pertama kali dimuat dan membersihkan subscription saat komponen di-unmount. Tulis useEffect hook yang dapat menyelesaikan hal ini.
NLP,GloVe,English,Creating,Design a modified GloVe training objective that incorporates syntactic dependency information from parse trees. Describe how you would adjust the co-occurrence counting and loss function to capture both semantic and syntactic relationships.,"Level: Creating
Topik: GloVe
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Design a modified GloVe training objective that incorporates syntactic dependency information from parse trees. Describe how you would adjust the co-occurrence counting and loss function to capture both semantic and syntactic relationships.
Cloud Computing,Cloud Load Balancing,Indonesian,Remembering,Apa fungsi utama dari cloud load balancer?,"Level: Remembering
Topik: Cloud Load Balancing
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Apa fungsi utama dari cloud load balancer?
Computer & Society,Technology & Society,English,Analyzing,Why do computers and the Internet have such a significant impact on modern society?,"Level: Analyzing
Topik: Technology & Society
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Why do computers and the Internet have such a significant impact on modern society?
IT Project Management,Work Breakdown Structure (WBS),Indonesian,Creating,"Rancanglah template WBS dan panduan dekomposisi untuk perusahaan konstruksi yang secara berulang membangun proyek perumahan, dengan memastikan template tersebut dapat digunakan kembali untuk berbagai proyek serupa namun tetap memungkinkan kustomisasi.","Level: Creating
Topik: Work Breakdown Structure (WBS)
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Rancanglah template WBS dan panduan dekomposisi untuk perusahaan konstruksi yang secara berulang membangun proyek perumahan, dengan memastikan template tersebut dapat digunakan kembali untuk berbagai proyek serupa namun tetap memungkinkan kustomisasi."
Distributed Systems,Raft Algorithm,Indonesian,Understanding,Jelaskan tujuan dari mekanisme election timeout dalam Raft dan bagaimana mekanisme tersebut memicu pemilihan leader baru.,"Level: Understanding
Topik: Raft Algorithm
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Jelaskan tujuan dari mekanisme election timeout dalam Raft dan bagaimana mekanisme tersebut memicu pemilihan leader baru.
Deep Learning,Pooling Layer,English,Remembering,What is the primary function of a pooling layer in a convolutional neural network?,"Level: Remembering
Topik: Pooling Layer
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",What is the primary function of a pooling layer in a convolutional neural network?
NLP,FastText,Indonesian,Creating,Rancang pendekatan embedding hybrid yang menggabungkan kemampuan subword FastText dengan informasi kontekstual dari model transformer. Deskripsikan arsitekturnya dan jelaskan bagaimana sistem ini menangani bahasa dengan morfologi yang kaya.,"Level: Creating
Topik: FastText
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Rancang pendekatan embedding hybrid yang menggabungkan kemampuan subword FastText dengan informasi kontekstual dari model transformer. Deskripsikan arsitekturnya dan jelaskan bagaimana sistem ini menangani bahasa dengan morfologi yang kaya.
Machine Learning,Train-Test Split,English,Remembering,What is the purpose of splitting a dataset into training and testing sets in machine learning?,"Level: Remembering
Topik: Train-Test Split
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",What is the purpose of splitting a dataset into training and testing sets in machine learning?
Management Information Systems,"Telecommunication, Internet, and Wireless Technology",English,Evaluating,What strategic decisions must management consider when deciding whether to adopt unified communications technology?,"Level: Evaluating
Topik: Telecommunication, Internet, and Wireless Technology
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",What strategic decisions must management consider when deciding whether to adopt unified communications technology?
Python,Python Closures,English,Creating,Design a decorator using closures that tracks how many times a function has been called and prints a warning if it exceeds a specified limit. Implement the complete solution.,"Level: Creating
Topik: Python Closures
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Design a decorator using closures that tracks how many times a function has been called and prints a warning if it exceeds a specified limit. Implement the complete solution.
Database,Database Replication,English,Remembering,What is database replication?,"Level: Remembering
Topik: Database Replication
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",What is database replication?
Business Intelligence,Data Storytelling,Indonesian,Creating,"Rancang kerangka data story lengkap untuk mempresentasikan dampak kampanye marketing baru, termasuk alur narasi, metrik kunci, jenis visualisasi, dan pesan yang disesuaikan dengan audiens.","Level: Creating
Topik: Data Storytelling
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Rancang kerangka data story lengkap untuk mempresentasikan dampak kampanye marketing baru, termasuk alur narasi, metrik kunci, jenis visualisasi, dan pesan yang disesuaikan dengan audiens."
Cloud Computing,AWS S3,English,Analyzing,"A startup stores 500GB of user-uploaded images in S3 Standard. 80% of images are accessed only in the first month, then rarely accessed. Analyze the storage pattern and identify which S3 storage classes would optimize costs.","Level: Analyzing
Topik: AWS S3
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","A startup stores 500GB of user-uploaded images in S3 Standard. 80% of images are accessed only in the first month, then rarely accessed. Analyze the storage pattern and identify which S3 storage classes would optimize costs."
Algorithms,Recursion,English,Remembering,What are the two essential components that every recursive function must have?,"Level: Remembering
Topik: Recursion
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",What are the two essential components that every recursive function must have?
Python Data,Pandas MultiIndex,Indonesian,Remembering,Apa yang dimaksud dengan MultiIndex di Pandas dan apa tujuan utamanya?,"Level: Remembering
Topik: Pandas MultiIndex
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Apa yang dimaksud dengan MultiIndex di Pandas dan apa tujuan utamanya?
Database,SQL Join,Indonesian,Creating,"Rancang strategi query SQL menggunakan berbagai tipe JOIN untuk menghasilkan laporan penjualan komprehensif yang mencakup: semua pelanggan (termasuk yang belum pernah memesan), pesanan mereka (jika ada), detail produk, dan informasi kategori. Sebutkan tipe JOIN yang akan Anda gunakan dan alasannya.","Level: Creating
Topik: SQL Join
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Rancang strategi query SQL menggunakan berbagai tipe JOIN untuk menghasilkan laporan penjualan komprehensif yang mencakup: semua pelanggan (termasuk yang belum pernah memesan), pesanan mereka (jika ada), detail produk, dan informasi kategori. Sebutkan tipe JOIN yang akan Anda gunakan dan alasannya."
Backend Python,Django Middleware,English,Remembering,What is the purpose of Django middleware in the request-response cycle?,"Level: Remembering
Topik: Django Middleware
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",What is the purpose of Django middleware in the request-response cycle?
Deep Learning,Transformer Architecture,Indonesian,Applying,"Diberikan sebuah sequence dengan 10 token dan dimensi embedding 512, hitung jumlah parameter pada satu layer attention dengan single-head (hanya matriks Query, Key, dan Value).","Level: Applying
Topik: Transformer Architecture
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Diberikan sebuah sequence dengan 10 token dan dimensi embedding 512, hitung jumlah parameter pada satu layer attention dengan single-head (hanya matriks Query, Key, dan Value)."
Matematika Diskrit,Kongruensi Linear,English,Applying,Solve the linear congruence 7x ≡ 3 (mod 15). Show all steps in your solution.,"Level: Applying
Topik: Kongruensi Linear
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Solve the linear congruence 7x ≡ 3 (mod 15). Show all steps in your solution.
