id,created_at,reflection,student_id,wtk_ref_id
1766,2026-02-23 06:20:31.403305+00,"aku ingin tahu lebih mendalam untuk membuan antarmuka yang lebih familiar dan mudah digunakan oleh user. karena i',m very interested untuk mendalami mengenai UI/UX, pernah mengambil role ini beberapa kali, tapi masih tetap sangat penasaaran untuk bisa lebih advanced in this",95,21
1769,2026-02-23 06:20:31.42123+00,"aku ingin tahu lebih mendalam untuk membuan antarmuka yang lebih familiar dan mudah digunakan oleh user. karena i',m very interested untuk mendalami mengenai UI/UX, pernah mengambil role ini beberapa kali, tapi masih tetap sangat penasaaran untuk bisa lebih advanced in this",95,21
1771,2026-02-23 06:21:40.559273+00,"Saya ingin mengetahui bagaimana antarmuka dirancang agar mudah digunakan, apa saja prinsip-prinsip dasar dalam membuat antarmuka yang baik, bagaimana cara menguji apakah antarmuka sudah efektif atau belum, serta bagaimana peran antarmuka dalam meningkatkan pengalaman dan kenyamanan pengguna saat menggunakan suatu sistem.",82,21
1772,2026-02-23 06:22:24.619442+00,Saya ingin tahu bagaimana UI mempengaruhi user dalam menggunakan aplikasi,220,21
1773,2026-02-23 06:22:41.013203+00,Yang ingin saya ketahui adalah mengenai UI UX serta bentuk bentuk antarmuka yang ada,208,21
1774,2026-02-23 06:22:51.986224+00,"Dari slides yang saya baca, saya ingin mengetahui apakah desain antarmuka memungkinkan pengguna mencapai tujuannya secara efektif (usability) serta memberikan pengalaman yang menyenangkan dan memuaskan (user experience)",81,21
1776,2026-02-23 06:24:33.040468+00,"Cara membuat desain antarmuka yang efektif, efisien dan best practice di dunia modern.",241,21
1777,2026-02-23 06:24:35.733091+00,Apa fungsi dari UI,288,21
1778,2026-02-23 06:24:46.269445+00,"Saya ingin mengetahui bagaimana antarmuka dapat mempengaruhi user, dan cara membuat antarmuka yang baik dan memenuhi kebutuhan user.",310,21
1779,2026-02-23 06:24:46.270185+00,"Saya ingin mengetahui bagaimana antarmuka dapat mempengaruhi user, dan cara membuat antarmuka yang baik dan memenuhi kebutuhan user.",310,21
1780,2026-02-23 06:25:14.254354+00,"Hal yang ingin saya ketahui tentang topik antarmuka adalah pengertian dasar antarmuka dan mengapa antarmuka sangat penting dalam suatu sistem. Saya juga ingin memahami berbagai jenis antarmuka seperti GUI, CLI, dan API serta perbedaan fungsi masing-masing. Selain itu, saya tertarik untuk mempelajari bagaimana merancang antarmuka yang baik agar mudah digunakan, jelas, dan tidak membingungkan bagi pengguna. Saya juga ingin mengetahui bagaimana antarmuka dapat memengaruhi pengalaman pengguna dan keberhasilan suatu sistem secara keseluruhan.",80,21
1783,2026-02-23 06:29:24.565675+00,"Kira-kira aku pengen tahu gimana cara bikin desain yang bener-bener nyambung sama model mental pengguna supaya nggak terjadi usability gap. Aku juga penasaran gimana cara ngatur beban kognitif lewat prinsip desain kayak konsistensi dan visibilitas, biar antarmukanya nggak cuma bagus dilihat tapi juga gampang dipake buat tugas-tugas yang ribet.",85,21
1764,2026-02-23 06:20:27.022143+00,"Kalo dalam desain ui/ux aku mau tau tentang yang berfokus pada estetika visual, interaksi, dan tata letak elemen (tombol, tipografi, warna) trs gimana untuk menciptakan tampilan produk digital yang menarik, konsisten, dan intuitif.",58,21
1981,2026-02-23 12:33:43.062163+00,Saya ingin mengetahui desain yang baik dan benar.,267,21
